"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","japanese","portuguese","chinese"
"DENIK_RIP","Rest in Peace!","Rest in Peace!","Rest in Peace!","Ruhe in Frieden!","Покойся с миром!","Rest in Peace!","Rest in Peace!","Rest in Peace!","Rest in Peace!","Repose en paix!","Rest in Peace!","Rest in Peace!","死掉了"
"DENIK_INFO","Player Info!","Player Info!","Player Info!","Spieler Info!","Информация об игроке!","Player Info!","Player Info!","Player Info!","Player Info!","information joueur!","Player Info!","Player Info!","玩家信息"
"DENIK_LOGIN","has entered the server!","has entered the server!","has entered the server!","hat den Server betreten!","вошел на сервер!","has entered the server!","has entered the server!","has entered the server!","has entered the server!","est entre sur le serveur!","has entered the server!","has entered the server!","加入服务器！"
"DENIK_LOGOUT","has left the server!","has left the server!","has left the server!","hat den Server verlassen!","покинул сервер!","has left the server!","has left the server!","has left the server!","has left the server!","a quitte le serveur!","has left the server!","has left the server!","离开服务器！"
"DENIK_HELP","Help!!!","Help!!!","Help!!!","Hilfe!!!","Помогите!!!","Help!!!","Help!!!","Help!!!","Help!!!",'"A l''aide!!!"',"Help!!!","Help!!!","帮助!!"
"DENIK_BLOOD","has bled to death!","has bled to death!","has bled to death!","ist verblutet!","истек кровью!","has bled to death!","has bled to death!","has bled to death!","has bled to death!",'"s''est vide de son sang et en est mort!"',"has bled to death!","has bled to death!","流血而死"
"DENIK_KILLSELF","killed itself!","killed itself!","killed itself!","hat sich selbst getötet!","убил себя!","killed itself!","killed itself!","killed itself!","killed itself!",'"s''est suicide!"',"killed itself!","killed itself!","自杀了"
"DENIK_FALL","fell stupid and died!","fell stupid and died!","fell stupid and died!","ist dumm gefallen und starb!","упал глупо и умер!","fell stupid and died!","fell stupid and died!","fell stupid and died!","fell stupid and died!","a fait une chute stupide et en est mort!","fell stupid and died!","fell stupid and died!","愚蠢死了!"
"DENIK_BEARTRAP","was killed by bear trap!","was killed by bear trap!","was killed by bear trap!","wurde von Bärenfalle getötet!","был убит медвежьей ловушкой!","was killed by bear trap!","was killed by bear trap!","was killed by bear trap!","was killed by bear trap!","a ete tue par un piege a ours!","was killed by bear trap!","was killed by bear trap!","被熊夹杀了"
"DENIK_UNCON","is unconscious!","is unconscious!","is unconscious!","ist bewusstlos!","без сознания!","is unconscious!","is unconscious!","is unconscious!","is unconscious!","est inconscient!","is unconscious!","is unconscious!","晕倒了"
"DENIK_DEH","died of dehydration!","died of dehydration!","died of dehydration!","starb an Dehydration!","умер от обезвоживания!","died of dehydration!","died of dehydration!","died of dehydration!","died of dehydration!","est mort de desidratation!","died of dehydration!","died of dehydration!","渴死了"
"DENIK_STARVED","is starved!","is starved!","is starved!","ist verhungert!","голоден!","is starved!","is starved!","is starved!","is starved!","est mort de faim!","is starved!","is starved!","饿死了"
"DENIK_KILLED","was killed by","was killed by","was killed by","wurde getötet von","был убит","was killed by","was killed by","was killed by","was killed by","a ete tue par","was killed by","was killed by","被杀了"
"DENIK_WIHT","with","with","with","mit","с","with","with","with","with","avec","with","with","和"
"DENIK_FROM","from","from","from","aus","из","from","from","from","from","de","from","from","从"
"DENIK_ZOMBIE","was killed by the zombie!","was killed by the zombie!","was killed by the zombie!","wurde vom Zombie getötet!","был убит зомби!","was killed by the zombie!","was killed by the zombie!","was killed by the zombie!","was killed by the zombie!","a ete tue par un Zombi!","was killed by the zombie!","was killed by the zombie!","被僵尸杀死了!"
"DENIK_ANIMAL","was killed by the animal!","was killed by the animal!","was killed by the animal!","wurde vom Tier getötet!","был убит животным!","was killed by the animal!","was killed by the animal!","was killed by the animal!","was killed by the animal!","a ete tue par un animal!","was killed by the animal!","was killed by the animal!","被动物杀死了!"
"DENIK_EXP","died from an explosion!","died from an explosion!","died from an explosion!","ist durch eine Explosion gestorben!","умер от взрыва!","died from an explosion!","died from an explosion!","died from an explosion!","died from an explosion!","est mort dans une explosion!","died from an explosion!","died from an explosion!","死于爆炸!"
"DENIK_GAS","died at a gas station explosion!","died at a gas station explosion!","died at a gas station explosion!","ist bei Tankstellen explosion gestorben!","died at a gas station explosion!","died at a gas station explosion!","died at a gas station explosion!","died at a gas station explosion!","died at a gas station explosion!","died at a gas station explosion!","died at a gas station explosion!","died at a gas station explosion!","died at a gas station explosion!"
"DENIK_WOLF","was killed by a wolf!","was killed by a wolf!","was killed by a wolf!","wurde von einem Wolf getötet!","was killed by a wolf!","was killed by a wolf!","was killed by a wolf!","was killed by a wolf!","was killed by a wolf!","was killed by a wolf!","was killed by a wolf!","was killed by a wolf!","was killed by a wolf!"
